Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-09,22.8,22.8,21.4,21.7,21.75,519960.0,113.47
2018-01-08,21.45,23.15,21.15,22.65,22.55,1188504.0,268.26
2018-01-05,22.25,22.3,20.4,21.15,21.05,761115.0,161.64
2018-01-04,24.15,24.25,22.0,22.2,22.2,1268841.0,291.74
2018-01-03,22.8,25.2,22.75,24.4,24.05,3942058.0,947.68
2018-01-02,18.7,22.35,18.55,22.35,22.2,5040559.0,1049.65
2018-01-01,18.6,18.95,18.5,18.7,18.65,399936.0,75.0
2017-12-29,18.3,18.6,18.25,18.25,18.45,268947.0,49.67
2017-12-28,18.6,18.6,18.1,18.3,18.2,150120.0,27.57
2017-12-27,18.45,18.9,18.3,18.3,18.35,196571.0,36.49
2017-12-26,18.9,18.9,18.15,18.5,18.55,422813.0,78.4
2017-12-22,18.95,19.1,18.1,18.6,18.45,218729.0,40.83
2017-12-21,18.2,18.85,17.5,18.75,18.55,250032.0,45.71
2017-12-20,18.2,19.4,17.7,17.85,17.85,193990.0,34.96
2017-12-19,18.05,18.4,17.7,18.05,17.95,131611.0,23.75
2017-12-18,18.0,18.1,17.1,17.95,17.85,78760.0,14.03
2017-12-15,17.95,18.2,17.7,17.8,17.95,86140.0,15.53
2017-12-14,17.95,18.1,17.65,17.65,17.75,61277.0,10.94
2017-12-13,17.9,18.5,17.8,17.85,17.85,98826.0,17.82
2017-12-12,18.25,18.4,17.85,17.9,17.9,101331.0,18.32
2017-12-11,18.3,19.0,18.0,18.2,18.25,153358.0,28.23
2017-12-08,16.95,18.95,16.95,18.15,18.2,828736.0,152.82
2017-12-07,17.0,17.25,16.5,16.85,16.85,178237.0,30.1
2017-12-06,17.1,17.25,16.55,16.85,16.9,82471.0,13.99
2017-12-05,17.45,17.6,17.05,17.15,17.2,101181.0,17.5
2017-12-04,18.05,18.05,17.25,17.35,17.35,98011.0,17.18
2017-12-01,18.5,18.7,17.9,18.05,17.95,131241.0,24.01
2017-11-30,18.1,19.0,17.85,18.25,18.35,407156.0,75.71
2017-11-29,18.3,18.75,18.0,18.2,18.15,289306.0,53.27
2017-11-28,18.9,19.2,18.35,18.6,18.65,520951.0,97.43
2017-11-27,19.5,19.6,18.1,18.8,18.7,501997.0,94.36
2017-11-24,18.95,19.0,18.0,18.8,18.7,682017.0,127.41
2017-11-23,16.15,19.1,15.95,18.85,18.45,2627163.0,491.26
2017-11-22,16.75,16.8,15.7,16.05,15.95,307665.0,49.52
2017-11-21,16.9,16.9,16.55,16.65,16.6,117488.0,19.58
2017-11-20,17.05,17.05,16.3,16.9,16.8,52238.0,8.76
2017-11-17,16.75,17.2,16.05,16.95,16.85,124450.0,21.02
2017-11-16,17.5,17.5,16.4,17.0,16.75,160735.0,26.95
2017-11-15,17.5,18.0,17.05,17.25,17.1,94977.0,16.58
2017-11-14,17.6,17.85,17.4,17.7,17.55,96518.0,17.02
2017-11-13,17.85,18.1,17.5,17.55,17.6,92448.0,16.41
2017-11-10,18.2,18.2,17.7,17.8,17.8,89888.0,16.01
2017-11-09,17.85,18.4,17.75,17.95,17.85,98004.0,17.54
2017-11-08,18.25,18.45,17.65,17.65,17.8,128712.0,23.25
2017-11-07,18.4,18.4,17.95,18.1,18.0,197197.0,35.6
2017-11-06,18.6,18.6,17.9,18.05,18.0,265543.0,48.24
2017-11-03,19.55,19.75,17.95,18.0,18.15,463437.0,86.16
2017-11-02,18.75,19.85,18.5,19.15,19.15,324060.0,62.49
2017-11-01,18.9,18.9,18.45,18.7,18.65,172110.0,32.1
2017-10-31,18.9,18.95,18.0,18.5,18.6,157734.0,29.54
2017-10-30,19.5,19.85,18.0,18.9,18.75,578033.0,108.89
2017-10-27,17.05,19.5,16.05,19.15,19.05,869924.0,162.17
2017-10-26,20.3,20.3,15.8,17.25,17.1,1893949.0,335.47
2017-10-25,21.4,24.45,19.5,19.7,19.75,2445331.0,515.24
2017-10-24,22.65,22.65,20.1,21.1,21.15,932359.0,196.69
2017-10-23,22.2,23.9,22.2,23.1,22.9,113596.0,26.16
2017-10-19,22.85,23.4,22.85,23.2,23.15,26748.0,6.17
2017-10-18,23.4,23.4,22.65,22.9,22.8,85031.0,19.53
2017-10-17,23.2,23.45,22.65,23.2,23.2,109970.0,25.38
2017-10-16,24.1,24.4,22.5,22.8,22.65,187910.0,43.46
2017-10-13,24.2,24.55,23.95,24.1,24.15,46572.0,11.32
2017-10-12,25.0,25.4,23.9,24.2,24.05,94050.0,22.89
2017-10-11,27.05,27.3,24.3,25.0,24.65,282195.0,71.28
2017-10-10,23.85,27.4,23.5,26.3,26.7,921343.0,244.23
2017-10-09,23.5,24.3,23.0,23.75,23.85,91383.0,21.62
2017-10-06,24.1,24.4,22.95,23.25,23.15,103610.0,24.21
2017-10-05,23.0,25.3,21.6,23.85,23.8,532205.0,131.49
2017-10-04,22.9,24.4,22.25,23.15,23.0,165943.0,39.09
2017-10-03,23.0,23.6,22.4,22.4,22.55,75993.0,17.41
2017-09-29,23.0,23.6,22.1,23.4,23.1,69280.0,15.86
2017-09-28,22.15,22.55,21.85,22.35,22.35,64697.0,14.37
2017-09-27,22.4,22.7,22.15,22.5,22.3,80903.0,18.1
2017-09-26,23.0,23.4,22.0,22.6,22.4,61027.0,13.78
2017-09-25,23.15,23.8,22.05,22.6,22.6,66938.0,15.07
2017-09-22,23.1,24.05,22.8,23.5,23.1,104128.0,24.23
2017-09-21,25.0,25.4,23.65,23.95,24.0,226784.0,54.56
2017-09-20,26.1,26.35,24.3,24.9,25.05,92229.0,23.6
2017-09-19,26.0,26.45,25.8,26.1,25.85,96825.0,25.25
2017-09-18,26.4,26.9,25.6,26.0,25.95,133064.0,34.88
2017-09-15,27.95,28.25,25.45,26.0,26.0,387401.0,102.41
2017-09-14,25.0,27.6,24.95,27.6,27.6,676078.0,182.88
2017-09-13,27.0,27.0,24.8,25.25,25.1,430190.0,109.18
2017-09-12,30.05,30.25,27.1,27.1,27.1,510314.0,141.7
2017-09-11,29.3,32.4,29.3,30.05,30.1,1633783.0,508.02
2017-09-08,24.85,28.85,24.75,28.85,28.8,1429317.0,389.15
2017-09-07,20.0,24.05,19.85,24.05,24.05,590117.0,135.55
2017-09-06,20.25,20.25,19.5,20.25,20.05,79672.0,15.86
2017-09-05,20.35,20.6,19.7,20.25,20.15,93914.0,18.77
2017-09-04,21.45,21.45,19.5,20.4,19.85,165682.0,33.25
2017-09-01,21.0,21.65,20.5,20.8,20.75,108355.0,22.68
2017-08-31,21.8,21.8,19.95,20.45,20.45,97109.0,19.92
2017-08-30,21.15,21.4,20.5,21.2,21.05,34825.0,7.32
2017-08-29,21.15,21.3,20.5,20.5,20.6,25681.0,5.3
2017-08-28,20.9,21.45,20.3,21.15,21.1,53176.0,11.19
2017-08-24,20.25,20.7,19.85,20.2,20.2,79963.0,16.18
2017-08-23,21.55,21.7,20.35,20.6,20.6,44511.0,9.31
2017-08-22,21.55,21.95,21.0,21.5,21.35,32358.0,6.95
2017-08-21,22.1,23.0,21.25,21.5,21.5,50794.0,11.17
2017-08-18,23.05,23.65,22.5,22.8,22.75,26844.0,6.15
2017-08-17,24.2,24.5,23.0,23.05,23.25,42361.0,9.98
2017-08-16,22.6,24.0,22.3,23.65,23.55,111713.0,26.03
2017-08-14,21.75,22.6,21.15,22.5,22.45,45313.0,9.97
2017-08-11,22.5,22.5,19.45,21.75,21.6,112557.0,24.24
2017-08-10,24.25,25.2,22.85,23.35,23.1,113002.0,26.71
2017-08-09,25.45,25.45,24.05,24.25,24.2,112525.0,27.5
2017-08-08,26.25,26.25,25.0,25.2,25.15,86365.0,21.93
2017-08-07,25.55,27.5,25.35,25.75,25.65,64712.0,16.75
2017-08-04,26.15,26.9,25.5,25.8,25.75,115599.0,30.08
2017-08-03,27.1,27.2,26.0,26.4,26.1,63324.0,16.7
2017-08-02,26.9,27.5,26.5,26.9,27.0,43523.0,11.78
2017-08-01,27.0,27.65,26.6,27.1,27.05,69121.0,18.71
2017-07-31,27.65,28.0,26.8,27.0,26.95,60520.0,16.46
2017-07-28,28.5,28.5,27.0,27.5,27.3,91295.0,24.94
2017-07-27,29.1,29.3,27.6,28.15,27.9,90033.0,25.48
2017-07-26,28.35,29.25,28.2,28.8,28.85,73550.0,21.08
2017-07-25,28.1,29.0,28.1,28.35,28.4,36775.0,10.49
2017-07-24,29.75,30.35,28.6,28.7,28.75,106351.0,31.08
2017-07-21,29.85,30.6,29.3,29.9,30.0,246150.0,74.23
2017-07-20,28.4,30.8,28.0,29.4,29.6,460390.0,136.89
2017-07-19,26.8,28.85,26.2,28.0,28.05,240569.0,67.06
2017-07-18,26.9,27.05,26.1,26.75,26.45,80803.0,21.48
2017-07-17,27.5,27.5,26.65,26.8,26.8,58565.0,15.8
2017-07-14,26.8,27.2,26.6,26.8,26.8,60731.0,16.29
2017-07-13,27.7,27.7,26.75,26.85,26.9,77567.0,21.02
2017-07-12,27.55,28.0,26.55,27.05,26.8,87306.0,23.63
2017-07-11,28.0,28.5,27.45,27.45,27.55,43917.0,12.22
2017-07-10,29.0,29.15,27.1,28.0,27.75,15938.0,4.43
2017-07-07,27.9,28.6,27.65,28.3,28.1,114210.0,31.87
2017-07-06,28.8,29.3,25.2,27.75,27.65,171842.0,47.47
2017-07-05,28.45,29.75,28.0,28.95,28.8,67098.0,19.35
2017-07-04,29.3,29.9,28.5,28.9,28.8,54017.0,15.8
2017-07-03,28.9,30.4,28.9,29.4,29.55,130730.0,38.94
2017-06-30,29.5,29.7,28.45,29.25,29.05,92197.0,26.8
2017-06-29,28.35,29.85,27.2,29.7,29.5,315971.0,92.19
2017-06-28,27.2,28.0,26.25,27.5,27.35,74676.0,20.52
2017-06-27,29.0,29.1,27.0,27.7,27.45,87000.0,24.31
2017-06-23,26.55,29.85,26.05,28.65,28.55,362322.0,103.7
2017-06-22,27.05,27.5,26.0,26.55,26.65,170783.0,45.53
2017-06-21,27.5,27.9,27.0,27.25,27.35,98798.0,27.12
2017-06-20,27.45,28.4,27.0,27.5,27.3,77596.0,21.41
2017-06-19,28.2,29.0,27.4,27.95,27.8,41992.0,11.72
2017-06-16,29.0,29.45,27.5,28.2,27.95,103797.0,29.34
2017-06-15,29.4,29.75,28.5,29.0,28.75,105000.0,30.51
2017-06-14,29.0,29.6,28.0,29.0,28.9,45585.0,13.23
2017-06-13,30.0,30.0,29.05,29.4,29.3,43401.0,12.76
2017-06-12,29.55,30.0,29.3,29.9,29.75,37162.0,11.01
2017-06-09,29.2,30.0,28.6,29.6,29.55,46912.0,13.79
2017-06-08,30.95,30.95,29.0,29.5,29.55,75125.0,22.44
2017-06-07,30.85,31.25,30.05,30.15,30.2,34693.0,10.53
2017-06-06,31.1,31.7,30.05,30.15,30.2,144000.0,44.3
2017-06-05,31.05,31.65,30.5,31.5,31.45,59145.0,18.41
2017-06-02,32.0,32.0,31.0,31.5,31.35,52559.0,16.56
2017-06-01,30.2,32.0,29.7,31.5,31.5,76545.0,24.09
2017-05-31,30.8,30.8,29.6,30.2,29.95,36439.0,10.99
2017-05-30,30.2,30.4,28.0,29.75,29.95,47774.0,14.14
2017-05-29,30.45,30.45,29.35,29.7,29.55,38633.0,11.45
2017-05-26,29.0,30.7,29.0,30.2,30.2,122936.0,36.94
2017-05-25,29.8,30.1,28.9,29.1,29.2,85121.0,25.17
2017-05-24,29.5,30.55,29.35,29.8,29.75,60850.0,18.2
2017-05-23,31.25,31.25,28.75,29.7,29.8,134476.0,40.08
2017-05-22,32.05,32.4,31.05,31.7,31.75,66937.0,21.43
2017-05-19,32.9,33.25,31.5,31.6,31.75,86284.0,27.59
2017-05-18,32.5,33.2,31.8,31.8,32.15,38160.0,12.36
2017-05-17,33.15,33.3,31.9,33.0,32.45,104433.0,33.94
2017-05-16,33.0,33.35,32.35,32.7,32.65,48765.0,15.99
2017-05-15,32.05,33.4,32.05,32.9,32.75,44567.0,14.64
2017-05-12,33.45,33.6,32.55,33.1,32.85,77120.0,25.49
2017-05-11,33.3,34.25,32.9,33.45,33.3,87504.0,29.22
2017-05-10,34.2,34.4,31.1,33.0,32.9,201406.0,66.42
2017-05-09,34.4,34.6,33.95,34.1,34.2,21396.0,7.32
2017-05-08,33.9,34.95,33.8,34.2,34.3,93256.0,32.08
2017-05-05,34.15,34.6,33.4,33.8,33.65,82005.0,27.71
2017-05-04,34.5,35.5,34.0,34.3,34.4,66653.0,23.03
2017-05-03,34.9,34.9,33.55,33.9,33.7,52610.0,17.82
2017-05-02,34.65,35.8,33.6,34.0,34.15,121974.0,41.96
2017-04-28,35.5,36.75,34.7,34.7,34.85,146579.0,51.54
2017-04-27,36.4,37.0,35.7,35.9,35.85,56581.0,20.33
2017-04-26,37.7,37.8,36.1,36.35,36.25,82484.0,30.2
2017-04-25,37.45,37.45,36.4,37.0,36.9,94427.0,34.95
2017-04-24,36.0,38.4,35.95,36.9,36.8,240632.0,88.43
2017-04-21,35.25,36.7,35.25,35.75,35.85,368970.0,133.12
2017-04-20,38.55,38.9,37.3,37.75,37.65,158875.0,60.69
2017-04-19,37.0,38.8,36.0,38.4,37.95,495032.0,185.94
2017-04-18,34.95,38.55,34.7,36.4,36.8,1765413.0,670.12
2017-04-17,36.0,36.6,34.75,35.0,35.05,137060.0,48.83
2017-04-13,36.25,36.25,35.2,36.2,35.95,124546.0,44.59
2017-04-12,36.0,36.9,35.4,35.7,35.55,172867.0,62.11
2017-04-11,36.0,37.65,35.2,35.6,35.85,356175.0,128.28
2017-04-10,38.35,38.35,35.75,36.9,37.45,140967.0,52.53
2017-04-07,38.5,38.55,37.5,38.35,38.4,58169.0,22.26
2017-04-06,40.0,40.0,37.25,38.95,38.7,1143756.0,450.23
2017-04-05,38.1,38.1,38.1,38.1,38.1,42217.0,16.08
2017-04-03,35.0,36.3,35.0,36.3,36.3,79352.0,28.34
2017-03-31,35.5,35.5,34.1,34.4,34.6,1042841.0,360.91
2017-03-30,37.5,38.0,35.85,35.85,35.85,187621.0,68.99
2017-03-29,39.5,39.5,37.25,38.1,37.7,182418.0,69.1
2017-03-28,39.95,40.5,38.15,38.65,38.55,280958.0,110.63
2017-03-27,40.4,41.2,39.7,40.1,39.9,118305.0,47.4
2017-03-24,40.4,41.4,39.9,40.4,40.55,100160.0,40.86
2017-03-23,41.15,41.6,40.55,40.8,40.8,790149.0,323.07
2017-03-22,42.15,42.25,41.0,41.25,41.2,51313.0,21.3
2017-03-21,42.85,43.0,41.1,41.5,42.45,318053.0,132.92
2017-03-20,44.25,44.4,42.2,42.25,42.4,580919.0,252.93
2017-03-17,42.15,44.2,41.0,43.7,43.9,406661.0,176.68
2017-03-16,42.8,43.0,41.9,41.9,42.1,145573.0,61.83
2017-03-15,44.55,44.55,42.55,43.0,42.8,695677.0,305.95
2017-03-14,40.65,42.45,40.6,42.45,42.45,183426.0,77.17
2017-03-10,40.85,42.0,40.15,40.15,40.45,43730.0,17.89
2017-03-09,40.95,42.2,38.5,42.0,41.7,241282.0,97.42
2017-03-08,41.25,42.3,40.25,40.55,40.5,80797.0,33.17
2017-03-07,42.4,42.4,40.0,40.7,40.55,107504.0,43.99
2017-03-06,42.65,42.65,40.4,41.95,41.9,79797.0,33.09
2017-03-03,38.5,41.1,38.35,41.1,41.1,111032.0,44.93
2017-03-02,39.95,40.0,39.1,39.1,39.15,18225.0,7.17
2017-03-01,40.0,40.0,39.0,39.1,39.25,15290.0,6.04
2017-02-28,38.85,40.45,38.2,39.2,39.35,25723.0,10.2
2017-02-27,39.2,40.5,38.55,39.7,39.65,32723.0,13.0
2017-02-23,39.9,40.7,39.3,39.4,40.2,59052.0,23.69
2017-02-22,40.6,40.7,38.75,39.6,39.55,52539.0,20.92
2017-02-21,39.7,40.55,38.2,40.5,40.35,42468.0,16.99
2017-02-20,40.5,40.75,39.0,39.7,39.65,28227.0,11.27
2017-02-17,40.5,40.85,38.6,39.85,39.55,54378.0,21.6
2017-02-16,39.0,41.45,37.8,40.1,40.2,95159.0,38.24
2017-02-15,40.2,41.0,39.65,39.75,39.7,151373.0,60.8
2017-02-14,43.15,43.15,40.7,41.5,41.7,148659.0,61.83
2017-02-13,41.15,43.1,41.0,42.8,42.8,173729.0,73.37
2017-02-10,40.8,43.45,40.8,41.5,41.5,1054400.0,440.17
2017-02-09,41.0,43.0,40.3,40.9,41.8,170591.0,71.6
2017-02-08,43.0,43.9,41.8,42.0,42.2,46746.0,19.8
2017-02-07,44.8,45.2,41.6,44.5,44.0,164938.0,70.92
2017-02-06,43.0,45.5,42.0,43.9,43.75,137993.0,61.4
2017-02-03,41.0,44.5,40.4,43.4,43.85,258786.0,107.64
2017-02-02,42.55,44.85,42.5,42.5,42.5,187805.0,80.11
2017-02-01,45.6,45.65,44.7,44.7,44.7,129692.0,58.03
2017-01-31,48.0,50.5,47.05,47.05,47.05,938210.0,447.07
2017-01-30,48.5,49.5,45.1,49.5,49.5,1059881.0,512.71
2017-01-27,47.15,47.15,46.75,47.15,47.15,204396.0,96.36
2017-01-25,44.4,44.95,43.85,44.95,44.95,983924.0,440.79
2017-01-24,41.65,42.85,41.5,42.85,42.85,381039.0,162.0
2017-01-23,38.8,40.85,37.05,40.85,40.85,1079134.0,424.65
2017-01-20,38.95,38.95,38.95,38.95,38.95,58797.0,22.9
2017-01-19,37.1,37.1,35.95,37.1,37.1,331471.0,122.51
2017-01-18,33.95,35.35,33.95,35.35,35.35,319148.0,111.58
2017-01-17,34.2,34.45,33.5,33.55,33.7,81426.0,27.7
2017-01-16,34.6,34.6,33.5,34.05,34.25,64754.0,22.13
2017-01-13,35.25,35.25,34.05,34.35,34.3,225450.0,77.68
2017-01-12,32.85,34.9,32.8,34.15,33.75,215686.0,73.02
2017-01-11,32.8,33.75,32.8,33.0,33.3,57924.0,19.39
2017-01-10,33.5,33.95,32.6,33.65,33.35,69094.0,22.94
2017-01-09,32.6,34.25,32.6,33.15,33.1,302764.0,102.05
2017-01-06,33.8,34.2,32.25,32.85,32.65,100883.0,33.31
2017-01-05,35.55,35.55,33.0,33.8,33.7,245878.0,83.64
2017-01-04,33.8,33.9,33.75,33.9,33.9,56694.0,19.2
2017-01-03,32.0,32.3,31.85,32.3,32.3,116284.0,37.5
2017-01-02,30.0,30.8,28.75,30.8,30.8,94617.0,28.6
2016-12-30,29.6,29.85,28.5,29.4,29.35,83955.0,24.75
2016-12-29,29.9,29.9,27.8,29.2,29.1,132502.0,38.27
2016-12-28,28.85,30.4,28.85,29.55,29.25,93681.0,27.87
2016-12-27,28.65,29.7,28.65,29.25,29.4,95166.0,27.78
2016-12-26,30.4,30.6,28.95,29.25,29.25,114942.0,34.17
2016-12-23,30.25,31.35,29.6,30.05,30.45,142404.0,43.43
2016-12-22,30.8,30.8,29.6,30.45,30.3,102713.0,30.96
2016-12-21,31.7,31.7,30.2,30.4,30.35,178917.0,55.04
2016-12-20,32.15,33.3,31.0,31.45,31.6,339649.0,110.39
2016-12-19,30.7,32.05,30.7,32.05,32.05,324090.0,103.19
2016-12-16,32.15,32.5,30.5,30.55,30.55,234259.0,72.91
2016-12-15,32.85,33.95,32.0,32.1,32.1,238933.0,78.32
2016-12-14,35.35,35.75,33.4,33.5,33.65,213648.0,73.87
2016-12-13,35.05,35.4,34.1,35.0,35.0,83711.0,29.26
2016-12-12,36.2,36.2,34.2,34.6,34.75,159900.0,56.18
2016-12-09,35.9,35.9,35.05,35.6,35.4,98240.0,34.86
2016-12-08,36.0,36.3,34.6,35.0,35.35,214624.0,76.2
2016-12-07,33.9,35.15,32.7,35.15,35.15,694229.0,243.1
2016-12-06,33.4,34.0,32.1,33.8,33.5,159763.0,53.55
2016-12-05,34.05,34.3,32.9,33.3,33.3,110662.0,37.03
2016-12-02,34.7,36.65,33.25,33.95,33.8,329436.0,111.97
2016-12-01,35.25,35.8,34.4,34.85,34.95,154323.0,53.96
2016-11-30,35.6,36.4,34.5,35.3,35.4,209603.0,73.73
2016-11-29,36.7,36.95,35.7,36.1,35.95,277917.0,101.21
2016-11-28,34.8,37.5,33.45,35.8,36.5,489940.0,173.23
2016-11-25,33.4,35.05,32.55,34.35,34.5,430808.0,147.49
2016-11-24,33.0,33.95,32.15,33.0,32.9,374076.0,123.35
2016-11-23,30.85,33.45,30.5,32.75,33.2,949068.0,307.21
2016-11-22,28.45,30.95,27.1,30.95,30.45,363503.0,107.65
2016-11-21,29.35,29.95,27.2,28.05,28.15,355730.0,101.47
2016-11-18,30.15,30.5,27.85,28.85,28.65,669554.0,192.66
2016-11-17,33.3,34.85,29.75,29.75,29.75,1419039.0,434.36
2016-11-16,34.15,35.8,30.5,33.3,33.05,1234722.0,404.87
