Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-09,77.9,78.4,75.6,75.95,75.9,549815.0,421.06
2018-01-08,78.5,80.5,77.55,77.8,77.9,1475023.0,1162.96
2018-01-05,74.8,78.5,74.55,77.95,77.8,1434773.0,1108.22
2018-01-04,75.35,75.9,74.25,74.8,74.5,329977.0,246.66
2018-01-03,75.8,76.0,74.0,75.9,75.35,826374.0,619.61
2018-01-02,74.4,76.0,71.9,76.0,75.2,951997.0,705.14
2018-01-01,75.2,75.75,73.2,74.1,73.65,561473.0,416.15
2017-12-29,72.65,75.5,72.55,74.9,74.85,814887.0,608.75
2017-12-28,72.5,72.9,70.8,72.0,71.65,311417.0,225.0
2017-12-27,75.05,75.55,71.1,71.75,71.95,497780.0,363.81
2017-12-26,76.9,77.15,74.1,74.7,74.7,379090.0,287.14
2017-12-22,76.5,79.0,76.35,76.45,76.6,1026528.0,797.14
2017-12-21,76.3,77.2,76.0,76.5,76.25,634224.0,485.96
2017-12-20,74.7,77.7,74.5,75.9,75.85,1532126.0,1166.82
2017-12-19,72.55,75.0,72.35,74.9,74.7,1211378.0,895.77
2017-12-18,71.7,73.85,67.55,72.0,71.8,899440.0,648.0
2017-12-15,72.95,73.75,71.9,72.4,72.15,627075.0,456.67
2017-12-14,72.7,73.5,70.5,72.1,72.0,765640.0,552.84
2017-12-13,72.0,75.7,71.0,72.3,71.95,2625918.0,1931.84
2017-12-12,71.4,74.25,70.0,72.0,71.65,1466239.0,1060.61
2017-12-11,71.1,71.5,69.8,71.5,71.05,707760.0,500.38
2017-12-08,70.0,71.6,69.6,70.5,70.25,1095615.0,774.05
2017-12-07,69.15,70.2,68.6,69.5,69.35,1038328.0,720.74
2017-12-06,68.0,72.75,67.15,68.3,67.9,2465226.0,1721.57
2017-12-05,66.0,68.8,64.2,68.0,67.65,1625701.0,1092.61
2017-12-04,65.7,66.9,64.0,66.65,66.2,1660824.0,1096.75
2017-12-01,65.4,65.9,62.1,63.0,62.5,547612.0,349.52
2017-11-30,63.9,67.1,62.1,64.55,64.7,1811197.0,1183.75
2017-11-29,67.8,68.8,63.1,63.45,63.8,2244462.0,1499.36
2017-11-28,61.9,67.75,60.5,66.7,65.75,2730590.0,1782.22
2017-11-27,62.0,62.5,61.1,61.55,61.45,213705.0,132.27
2017-11-24,62.2,63.0,61.4,61.85,61.65,1525805.0,949.77
2017-11-23,60.6,62.0,59.95,61.7,61.55,501372.0,306.59
2017-11-22,60.6,60.95,59.25,60.15,59.95,238327.0,143.01
2017-11-21,59.4,60.6,58.55,59.5,59.25,351913.0,210.75
2017-11-20,58.95,59.3,58.35,58.4,58.5,189796.0,111.56
2017-11-17,60.2,60.45,58.0,58.5,58.35,269961.0,159.48
2017-11-16,57.85,59.5,57.35,59.2,59.1,381005.0,222.97
2017-11-15,59.0,59.05,56.1,56.85,57.15,451899.0,257.29
2017-11-14,56.85,59.4,56.75,58.8,58.55,826080.0,481.74
2017-11-13,60.15,60.15,55.1,55.6,55.35,1355884.0,765.95
2017-11-10,62.45,62.7,60.9,61.2,61.15,300753.0,185.81
2017-11-09,61.6,63.3,60.4,62.3,62.1,397594.0,245.33
2017-11-08,63.25,63.8,60.0,61.2,60.8,484223.0,299.48
2017-11-07,66.5,67.3,62.5,63.25,63.15,833842.0,533.14
2017-11-06,63.8,67.95,63.55,66.3,66.35,1716478.0,1140.77
2017-11-03,67.0,67.6,64.1,64.5,64.5,918960.0,602.06
2017-11-02,62.1,67.9,62.0,66.0,66.25,2939264.0,1916.4
2017-11-01,62.5,64.35,62.1,62.7,62.6,1528419.0,971.68
2017-10-31,62.5,63.0,61.5,61.65,61.8,515546.0,320.88
2017-10-30,63.45,63.45,62.0,62.5,62.3,566487.0,355.06
2017-10-27,63.0,63.9,62.1,62.8,62.6,1019080.0,642.49
2017-10-26,62.5,63.95,61.7,62.8,62.55,1455195.0,913.88
2017-10-25,61.4,62.25,60.65,62.2,61.85,1060262.0,649.76
2017-10-24,61.8,62.9,60.0,60.35,60.65,1097338.0,674.66
2017-10-23,62.0,63.0,61.35,61.6,61.8,1226595.0,764.52
2017-10-19,61.3,62.0,60.8,61.5,61.2,384950.0,236.47
2017-10-18,61.9,62.4,60.05,60.8,60.85,672212.0,412.03
2017-10-17,60.5,64.2,60.5,61.6,61.45,2899573.0,1821.36
2017-10-16,60.0,61.0,58.15,60.3,60.35,568627.0,339.82
2017-10-13,61.2,61.5,59.3,59.7,59.65,544268.0,329.72
2017-10-12,60.0,61.3,59.0,61.0,60.7,758933.0,459.88
2017-10-11,61.5,62.8,57.8,59.6,59.3,1697520.0,1029.23
2017-10-10,64.3,64.3,60.55,61.15,60.85,2942006.0,1823.38
2017-10-09,57.0,65.35,56.5,63.65,64.35,8747719.0,5360.27
2017-10-06,57.0,58.8,56.15,56.3,56.45,1589421.0,914.12
2017-10-05,54.8,56.8,54.05,56.5,56.05,1120776.0,624.15
2017-10-04,56.8,57.25,55.0,55.45,55.5,767719.0,428.58
2017-10-03,57.25,58.3,55.85,56.35,56.5,972035.0,553.39
2017-09-29,53.9,58.9,53.45,57.15,56.75,3726347.0,2120.77
2017-09-28,53.1,54.7,52.65,53.5,53.45,831713.0,447.84
