Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-09,73.3,76.5,72.9,73.8,73.8,2320899.0,1740.41
2018-01-08,74.0,74.4,72.7,73.3,73.3,1097409.0,806.36
2018-01-05,73.2,74.7,72.55,73.3,73.5,979986.0,722.81
2018-01-04,74.0,74.5,72.5,73.2,72.8,963378.0,706.67
2018-01-03,73.8,74.5,72.25,73.4,73.25,742276.0,543.56
2018-01-02,74.2,74.3,70.5,73.5,73.0,1329314.0,963.81
2018-01-01,72.85,76.5,72.5,73.5,73.6,2667653.0,1982.54
2017-12-29,71.8,73.2,70.0,71.95,71.95,1275710.0,913.95
2017-12-28,72.0,72.6,70.9,71.3,71.2,849028.0,607.36
2017-12-27,74.15,74.8,70.75,71.45,71.75,1378499.0,1001.75
2017-12-26,71.5,75.25,70.55,74.0,74.4,2863093.0,2106.43
2017-12-22,73.0,73.65,70.2,71.0,70.8,1547381.0,1111.39
2017-12-21,73.15,74.35,72.25,72.8,72.9,1894057.0,1387.53
2017-12-20,71.3,74.6,71.15,72.65,72.65,4864546.0,3561.37
2017-12-19,68.95,71.0,68.6,70.7,70.35,2544200.0,1775.11
2017-12-18,66.5,69.55,62.1,67.45,67.4,1859549.0,1248.62
2017-12-15,68.0,69.25,67.0,67.2,67.35,1465317.0,996.82
2017-12-14,67.0,67.9,65.1,67.0,66.8,1786836.0,1188.61
2017-12-13,70.0,71.25,65.4,66.5,66.4,2869564.0,1974.48
2017-12-12,70.3,73.2,67.5,69.7,69.9,9816993.0,6904.41
2017-12-11,64.45,70.4,63.0,70.0,69.4,7681690.0,5245.14
2017-12-08,64.15,65.4,63.75,64.0,64.05,903248.0,582.53
2017-12-07,61.75,64.4,61.7,64.0,63.85,840703.0,531.19
2017-12-06,61.7,63.2,61.1,61.6,61.45,627108.0,388.37
2017-12-05,63.4,63.75,61.5,61.7,61.8,692799.0,430.44
2017-12-04,65.0,65.0,62.4,63.7,63.4,971184.0,618.47
2017-12-01,64.95,66.0,62.25,62.95,62.65,918173.0,588.01
2017-11-30,63.55,66.35,62.6,64.75,64.25,1436090.0,928.71
2017-11-29,65.1,66.5,63.9,64.5,64.35,1168867.0,760.67
2017-11-28,64.6,66.1,63.7,64.0,64.4,1804009.0,1170.07
2017-11-27,61.55,64.8,61.55,64.2,64.05,1780549.0,1133.09
2017-11-24,60.6,62.5,60.05,61.5,61.45,1470207.0,903.73
2017-11-23,59.8,61.8,58.9,60.15,60.15,1074118.0,648.54
2017-11-22,60.2,60.95,59.0,59.4,59.3,665007.0,396.06
2017-11-21,60.0,61.65,59.0,59.7,59.6,948189.0,571.39
2017-11-20,59.0,60.5,58.7,59.4,59.45,798713.0,475.92
2017-11-17,59.0,59.7,58.25,58.9,58.7,707485.0,417.16
2017-11-16,58.1,59.3,57.55,58.2,58.15,751641.0,436.61
2017-11-15,60.75,60.8,57.65,57.8,57.95,795890.0,467.74
2017-11-14,61.95,62.75,60.3,60.75,60.7,641568.0,393.14
2017-11-13,62.35,63.3,61.1,61.5,61.65,858327.0,531.72
2017-11-10,61.95,63.0,60.85,61.65,61.55,865600.0,535.71
2017-11-09,61.7,62.5,59.85,61.5,61.6,804239.0,492.32
2017-11-08,62.5,63.6,59.8,61.0,61.0,872961.0,541.71
2017-11-07,65.5,65.6,61.65,62.9,62.7,1795977.0,1137.47
2017-11-06,63.45,67.0,63.45,64.7,64.9,2230576.0,1460.24
2017-11-03,61.45,65.4,61.45,63.6,63.5,2173625.0,1393.15
2017-11-02,64.0,64.45,61.25,61.3,61.45,1168254.0,728.22
2017-11-01,64.75,65.75,63.5,64.0,63.9,1372014.0,886.25
2017-10-31,66.9,68.15,63.85,64.1,64.2,4965689.0,3269.9
2017-10-30,57.3,67.0,57.25,67.0,66.55,9488800.0,6096.74
2017-10-27,55.9,56.8,55.6,56.0,55.85,423578.0,238.14
2017-10-26,55.0,56.65,54.65,55.35,55.5,797434.0,444.69
2017-10-25,57.65,57.85,54.25,55.1,54.7,899873.0,498.07
2017-10-24,57.35,60.4,56.75,56.75,57.05,2361323.0,1382.2
2017-10-23,58.3,58.6,56.55,57.2,57.45,687921.0,395.84
2017-10-19,57.25,58.3,57.1,57.45,57.9,282633.0,163.38
2017-10-18,57.05,58.3,55.7,57.25,57.35,800401.0,455.88
2017-10-17,57.0,57.75,56.7,57.55,57.3,402997.0,230.65
2017-10-16,57.2,58.5,56.4,56.9,56.95,692935.0,397.18
2017-10-13,58.35,58.6,56.2,56.75,56.65,711067.0,407.49
2017-10-12,57.9,58.7,57.05,58.1,58.05,547707.0,317.19
2017-10-11,59.65,61.7,56.25,57.25,57.3,1126755.0,668.67
2017-10-10,61.6,61.7,59.0,59.45,59.35,774709.0,466.03
2017-10-09,61.4,62.6,60.2,61.05,61.15,1297706.0,796.37
2017-10-06,58.6,61.9,58.3,61.0,61.15,1856138.0,1127.01
2017-10-05,56.6,59.4,56.6,58.0,57.85,1405774.0,816.33
2017-10-04,55.9,57.6,55.15,57.2,56.95,1021896.0,579.52
2017-10-03,55.5,56.6,54.15,55.5,55.5,649933.0,359.75
2017-09-29,55.25,56.7,54.1,54.6,54.5,982939.0,545.91
2017-09-28,54.7,56.2,53.7,55.25,54.85,964156.0,530.66
2017-09-27,58.45,59.3,54.0,55.1,54.7,1240449.0,702.94
2017-09-26,57.25,58.8,57.05,57.95,57.8,1347436.0,780.9
2017-09-25,59.8,60.75,55.25,56.8,56.65,2072139.0,1185.65
2017-09-22,63.0,63.1,58.7,59.2,59.1,2074371.0,1261.6
2017-09-21,66.0,66.25,62.25,63.55,63.6,2377927.0,1525.92
